Cell_line,GENE,normZ,p-value,FDR,Treatment
293A,A1BG,-0.59,0.277,1.04,AZD6738
293A,A1CF,-1.95,0.0257,0.851,AZD6738
293A,A2M,-0.3,0.38,1.04,AZD6738
293A,A2ML1,0.7,0.759,0.997,AZD6738
293A,A4GALT,-0.18,0.429,1.03,AZD6738
293A,A4GNT,-0.36,0.361,1.04,AZD6738
293A,AAAS,-2.5,0.0062,0.638,AZD6738
293A,AACS,-0.93,0.176,1.04,AZD6738
293A,AADAC,1.31,0.906,0.993,AZD6738
293A,AADACL2,0.14,0.558,1.01,AZD6738
293A,AADACL3,-0.84,0.201,1.03,AZD6738
293A,AADACL4,-0.27,0.394,1.04,AZD6738
293A,AADAT,0.21,0.583,1.01,AZD6738
293A,AAED1,-0.03,0.489,1.02,AZD6738
293A,AAGAB,1.38,0.916,0.991,AZD6738
293A,AAK1,-0.35,0.363,1.04,AZD6738
293A,AAMDC,-0.11,0.457,1.02,AZD6738
293A,AAMP,0.07,0.527,1.02,AZD6738
293A,AANAT,-0.81,0.209,1.03,AZD6738
293A,AAR2,0.8,0.789,0.993,AZD6738
293A,AARD,0.08,0.532,1.01,AZD6738
293A,AARS2,-0.05,0.481,1.02,AZD6738
293A,AASDH,0.86,0.804,0.993,AZD6738
293A,AASDHPPT,0.95,0.828,0.994,AZD6738
293A,AASS,1.48,0.93,0.992,AZD6738
293A,AATF,0.59,0.721,1,AZD6738
293A,AATK,-1.4,0.0806,1,AZD6738
293A,ABAT,-0.71,0.24,1.03,AZD6738
293A,ABCA1,-0.88,0.19,1.03,AZD6738
293A,ABCA10,-0.26,0.399,1.04,AZD6738
293A,ABCA12,1.28,0.899,0.993,AZD6738
293A,ABCA13,0.95,0.829,0.993,AZD6738
293A,ABCA2,-0.66,0.255,1.03,AZD6738
293A,ABCA2,1.28,0.9,0.993,AZD6738
293A,ABCA4,0.47,0.68,1.01,AZD6738
293A,ABCA5,0.5,0.691,1.01,AZD6738
293A,ABCA6,0.53,0.7,1,AZD6738
293A,ABCA7,0.25,0.598,1.01,AZD6738
293A,ABCA8,1.01,0.845,0.994,AZD6738
293A,ABCA9,0.61,0.729,1,AZD6738
293A,ABCB1,-0.2,0.421,1.03,AZD6738
293A,ABCB10,0.85,0.803,0.993,AZD6738
293A,ABCB11,0.94,0.826,0.993,AZD6738
293A,ABCB4,-0.6,0.273,1.04,AZD6738
293A,ABCB5,0.25,0.6,1.01,AZD6738
293A,ABCB6,0.95,0.83,0.994,AZD6738
293A,ABCB7,0.34,0.631,1.01,AZD6738
293A,ABCB8,-1.14,0.127,1.01,AZD6738
293A,ABCB9,0.69,0.754,0.997,AZD6738
293A,ABCC1,-0.5,0.31,1.04,AZD6738
293A,ABCC10,-0.59,0.278,1.04,AZD6738
293A,ABCC11,0.53,0.7,1,AZD6738
293A,ABCC12,0.96,0.833,0.993,AZD6738
293A,ABCC2,0.52,0.7,1.01,AZD6738
293A,ABCC3,-1.1,0.136,1.01,AZD6738
293A,ABCC4,-0.51,0.305,1.04,AZD6738
293A,ABCC5,1.54,0.938,0.993,AZD6738
293A,ABCC6,0.25,0.6,1.01,AZD6738
293A,ABCC8,-0.97,0.165,1.03,AZD6738
293A,ABCC9,-0.66,0.255,1.04,AZD6738
293A,ABCD1,0.31,0.622,1.01,AZD6738
293A,ABCD2,0.8,0.789,0.993,AZD6738
293A,ABCD3,-0.69,0.245,1.03,AZD6738
293A,ABCD4,-0.05,0.478,1.02,AZD6738
293A,ABCF1,1.29,0.901,0.993,AZD6738
293A,ABCF2,0.81,0.79,0.993,AZD6738
