Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,A1BG,-0.68,0.25,1.06,AZD6738
HCT116,A1CF,-0.17,0.431,1.02,AZD6738
HCT116,A2M,0.78,0.782,0.983,AZD6738
HCT116,A2ML1,0.3,0.618,0.994,AZD6738
HCT116,A4GALT,-0.5,0.309,1.03,AZD6738
HCT116,A4GNT,1.61,0.946,0.996,AZD6738
HCT116,AAAS,-1.13,0.128,1.08,AZD6738
HCT116,AACS,0.63,0.736,0.988,AZD6738
HCT116,AADAC,-0.36,0.36,1.03,AZD6738
HCT116,AADACL2,-0.02,0.494,1.01,AZD6738
HCT116,AADACL3,-0.42,0.337,1.03,AZD6738
HCT116,AADACL4,0.7,0.757,0.985,AZD6738
HCT116,AADAT,0.78,0.781,0.983,AZD6738
HCT116,AAED1,-0.21,0.417,1.02,AZD6738
HCT116,AAGAB,-2.07,0.0194,0.912,AZD6738
HCT116,AAK1,0.11,0.545,1,AZD6738
HCT116,AAMDC,0.05,0.519,1.01,AZD6738
HCT116,AAMP,1.46,0.927,0.994,AZD6738
HCT116,AANAT,-0.15,0.439,1.02,AZD6738
HCT116,AAR2,0.31,0.622,0.995,AZD6738
HCT116,AARD,1.37,0.915,0.993,AZD6738
HCT116,AARS2,1.77,0.961,0.997,AZD6738
HCT116,AASDH,-0.95,0.17,1.08,AZD6738
HCT116,AASDHPPT,0.01,0.503,1.01,AZD6738
HCT116,AASS,0.24,0.596,0.995,AZD6738
HCT116,AATF,-0.48,0.316,1.03,AZD6738
HCT116,AATK,0.22,0.585,0.998,AZD6738
HCT116,ABAT,0.22,0.588,0.998,AZD6738
HCT116,ABCA1,-0.01,0.494,1,AZD6738
HCT116,ABCA10,-0.61,0.272,1.04,AZD6738
HCT116,ABCA12,-0.55,0.292,1.04,AZD6738
HCT116,ABCA13,0.09,0.536,1,AZD6738
HCT116,ABCA2,-0.1,0.459,1.01,AZD6738
HCT116,ABCA2,-0.06,0.478,1.01,AZD6738
HCT116,ABCA4,-0.23,0.408,1.02,AZD6738
HCT116,ABCA5,0.36,0.639,0.99,AZD6738
HCT116,ABCA6,-0.1,0.461,1.01,AZD6738
HCT116,ABCA7,-1.16,0.124,1.08,AZD6738
HCT116,ABCA8,-0.37,0.355,1.03,AZD6738
HCT116,ABCA9,0.32,0.625,0.994,AZD6738
HCT116,ABCB1,-0.66,0.255,1.05,AZD6738
HCT116,ABCB10,-0.3,0.382,1.03,AZD6738
HCT116,ABCB11,-0.17,0.431,1.02,AZD6738
