Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,A1BG,1.87,0.969,0.998,VE821
HCT116,A1CF,-0.21,0.415,1.02,VE821
HCT116,A2M,0.57,0.714,0.999,VE821
HCT116,A2ML1,-1.3,0.096,0.997,VE821
HCT116,A4GALT,0.56,0.711,0.999,VE821
HCT116,A4GNT,-0.09,0.465,1.02,VE821
HCT116,AAAS,0.18,0.572,1.01,VE821
HCT116,AACS,0.86,0.804,0.997,VE821
HCT116,AADAC,0.08,0.532,1.01,VE821
HCT116,AADACL2,-0.15,0.439,1.02,VE821
HCT116,AADACL3,-0.71,0.238,1.03,VE821
HCT116,AADACL4,0.6,0.725,1,VE821
HCT116,AADAT,0.95,0.828,0.996,VE821
HCT116,AAED1,0.82,0.795,0.999,VE821
HCT116,AAGAB,1.53,0.936,0.996,VE821
HCT116,AAK1,-0.06,0.476,1.01,VE821
HCT116,AAMDC,0.23,0.59,1.01,VE821
HCT116,AAMP,0.82,0.793,0.999,VE821
HCT116,AANAT,2.4,0.992,1,VE821
HCT116,AAR2,-0.34,0.368,1.02,VE821
HCT116,AARD,-1.89,0.0296,0.949,VE821
HCT116,AARS2,1,0.842,0.996,VE821
HCT116,AASDH,0.26,0.601,1.01,VE821
HCT116,AASDHPPT,-1.62,0.0524,0.981,VE821
HCT116,AASS,-0.88,0.189,1,VE821
HCT116,AATF,-0.42,0.338,1.02,VE821
HCT116,AATK,0.13,0.55,1.01,VE821
HCT116,ABAT,-0.4,0.343,1.02,VE821
HCT116,ABCA1,1.17,0.879,0.994,VE821
HCT116,ABCA10,-0.89,0.188,1,VE821
HCT116,ABCA12,-0.84,0.201,1.01,VE821
HCT116,ABCA13,1.49,0.932,0.996,VE821
HCT116,ABCA2,-0.14,0.445,1.02,VE821
HCT116,ABCA3,-1.28,0.101,1,VE821
HCT116,ABCA4,-0.37,0.354,1.02,VE821
HCT116,ABCA5,1.31,0.904,0.994,VE821
HCT116,ABCA6,-0.08,0.469,1.01,VE821
HCT116,ABCA7,0.75,0.774,0.999,VE821
HCT116,ABCA8,0.48,0.686,1,VE821
HCT116,ABCA9,0.74,0.771,0.999,VE821
HCT116,ABCB1,0.4,0.656,1.01,VE821
HCT116,ABCB10,-0.59,0.278,1.03,VE821
HCT116,ABCB11,0.91,0.819,0.997,VE821
HCT116,ABCB4,1.06,0.856,0.996,VE821
HCT116,ABCB5,0.69,0.755,0.998,VE821
HCT116,ABCB6,-1.15,0.125,0.999,VE821
