Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,A1BG,0.03,0.511,1.02,VE821
HeLA,A1CF,-0.64,0.261,1.05,VE821
HeLA,A2M,1.05,0.853,0.993,VE821
HeLA,A2ML1,0.03,0.511,1.02,VE821
HeLA,A4GALT,-1.9,0.0289,0.837,VE821
HeLA,A4GNT,-0.4,0.343,1.04,VE821
HeLA,AAAS,-0.8,0.211,1.04,VE821
HeLA,AACS,-0.89,0.187,1.04,VE821
HeLA,AADAC,0.29,0.613,1.01,VE821
HeLA,AADACL2,0.42,0.663,1.01,VE821
HeLA,AADACL3,0.01,0.506,1.02,VE821
HeLA,AADACL4,-0.59,0.279,1.05,VE821
HeLA,AADAT,0.95,0.83,0.994,VE821
HeLA,AAED1,-2.29,0.0111,0.692,VE821
HeLA,AAGAB,1.9,0.971,0.995,VE821
HeLA,AAK1,-0.4,0.346,1.04,VE821
HeLA,AAMDC,-0.31,0.38,1.04,VE821
HeLA,AAMP,-0.33,0.371,1.04,VE821
HeLA,AANAT,0.44,0.668,1.01,VE821
HeLA,AAR2,0.52,0.7,1,VE821
HeLA,AARD,0.02,0.507,1.02,VE821
HeLA,AARS2,-0.88,0.19,1.04,VE821
HeLA,AASDH,-1.03,0.151,1.03,VE821
HeLA,AASDHPPT,-0.41,0.34,1.04,VE821
HeLA,AASS,-1.62,0.0522,0.914,VE821
HeLA,AATF,0.39,0.653,1.01,VE821
HeLA,AATK,0.57,0.715,1,VE821
HeLA,ABAT,-0.9,0.185,1.04,VE821
HeLA,ABCA1,-0.34,0.368,1.04,VE821
HeLA,ABCA10,-0.38,0.352,1.04,VE821
HeLA,ABCA12,1.33,0.909,0.992,VE821
HeLA,ABCA13,0.2,0.578,1.02,VE821
HeLA,ABCA2,-1.23,0.11,1.01,VE821
HeLA,ABCA3,0.38,0.647,1.01,VE821
HeLA,ABCA4,-1.35,0.0892,0.979,VE821
HeLA,ABCA5,-0.34,0.367,1.04,VE821
HeLA,ABCA6,0.14,0.555,1.02,VE821
HeLA,ABCA7,-2.29,0.0111,0.691,VE821
HeLA,ABCA8,-1.09,0.137,1.03,VE821
HeLA,ABCA9,-0.29,0.387,1.04,VE821
HeLA,ABCB1,-0.82,0.205,1.04,VE821
HeLA,ABCB10,1.88,0.97,0.995,VE821
HeLA,ABCB11,-0.18,0.431,1.03,VE821
HeLA,ABCB4,-0.55,0.292,1.05,VE821
HeLA,ABCB5,0.65,0.742,0.999,VE821
HeLA,ABCB6,-0.14,0.444,1.03,VE821
HeLA,ABCB7,-1.06,0.144,1.04,VE821
HeLA,ABCB8,-0.21,0.418,1.04,VE821
HeLA,ABCB9,1.6,0.945,0.996,VE821
HeLA,ABCC1,-1.12,0.131,1.03,VE821
HeLA,ABCC10,-0.42,0.339,1.05,VE821
HeLA,ABCC11,0.39,0.652,1.01,VE821
HeLA,ABCC12,-2.07,0.0194,0.762,VE821
