Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,A1BG,1.88,0.97,0.996,AZD6738
MCF10A,A1CF,-0.22,0.414,1.02,AZD6738
MCF10A,A2M,0.03,0.513,1.01,AZD6738
MCF10A,A2ML1,-0.28,0.39,1.02,AZD6738
MCF10A,A4GALT,-0.36,0.361,1.03,AZD6738
MCF10A,A4GNT,-0.57,0.283,1.05,AZD6738
MCF10A,AAAS,-2.08,0.0186,0.871,AZD6738
MCF10A,AACS,1.25,0.894,0.993,AZD6738
MCF10A,AADAC,0.64,0.741,0.992,AZD6738
MCF10A,AADACL2,0.97,0.834,0.99,AZD6738
MCF10A,AADACL3,-0.96,0.17,1.07,AZD6738
MCF10A,AADACL4,-0.29,0.388,1.02,AZD6738
MCF10A,AADAT,-0.63,0.265,1.05,AZD6738
MCF10A,AAED1,-1.93,0.0267,0.941,AZD6738
MCF10A,AAGAB,0.11,0.546,1.01,AZD6738
MCF10A,AAK1,0.81,0.79,0.994,AZD6738
MCF10A,AAMDC,-2.06,0.0196,0.88,AZD6738
MCF10A,AAMP,1.05,0.852,0.99,AZD6738
MCF10A,AANAT,-0.16,0.438,1.02,AZD6738
MCF10A,AAR2,1.24,0.892,0.993,AZD6738
MCF10A,AARD,0.28,0.61,1,AZD6738
MCF10A,AARS2,2,0.977,0.996,AZD6738
MCF10A,AASDH,1.2,0.885,0.991,AZD6738
MCF10A,AASDHPPT,-1.73,0.0422,0.986,AZD6738
MCF10A,AASS,1.27,0.898,0.993,AZD6738
MCF10A,AATF,0.48,0.683,0.993,AZD6738
MCF10A,AATK,-0.35,0.363,1.03,AZD6738
MCF10A,ABAT,-1.74,0.0409,0.98,AZD6738
MCF10A,ABCA1,1.28,0.9,0.993,AZD6738
MCF10A,ABCA10,0.16,0.564,1.01,AZD6738
MCF10A,ABCA12,-0.16,0.438,1.02,AZD6738
MCF10A,ABCA13,-0.45,0.325,1.04,AZD6738
MCF10A,ABCA2,-0.14,0.444,1.02,AZD6738
MCF10A,ABCA2,-0.5,0.308,1.04,AZD6738
MCF10A,ABCA4,-0.35,0.364,1.03,AZD6738
MCF10A,ABCA5,0.96,0.831,0.99,AZD6738
MCF10A,ABCA6,-0.45,0.325,1.04,AZD6738
MCF10A,ABCA7,-0.56,0.289,1.05,AZD6738
MCF10A,ABCA8,0.63,0.734,0.992,AZD6738
MCF10A,ABCA9,0.05,0.519,1.01,AZD6738
MCF10A,ABCB1,-1.02,0.155,1.08,AZD6738
MCF10A,ABCB10,-0.2,0.419,1.02,AZD6738
MCF10A,ABCB11,0.11,0.544,1.01,AZD6738
MCF10A,ABCB4,-1.59,0.0563,1.02,AZD6738
MCF10A,ABCB5,0.45,0.673,0.995,AZD6738
MCF10A,ABCB6,-1.92,0.0273,0.941,AZD6738
MCF10A,ABCB7,0.16,0.562,1,AZD6738
MCF10A,ABCB8,-0.16,0.438,1.02,AZD6738
MCF10A,ABCB9,0.19,0.576,1,AZD6738
MCF10A,ABCC1,-2.22,0.0131,0.791,AZD6738
MCF10A,ABCC10,-0.6,0.273,1.05,AZD6738
MCF10A,ABCC11,0.91,0.818,0.99,AZD6738
MCF10A,ABCC12,-0.66,0.255,1.06,AZD6738
MCF10A,ABCC2,-0.55,0.29,1.05,AZD6738
MCF10A,ABCC3,0.44,0.669,0.996,AZD6738
MCF10A,ABCC4,-0.3,0.383,1.03,AZD6738
MCF10A,ABCC5,0.36,0.639,1,AZD6738
MCF10A,ABCC6,-1.75,0.0401,0.98,AZD6738
MCF10A,ABCC8,-0.08,0.469,1.02,AZD6738
MCF10A,ABCC9,1.29,0.902,0.993,AZD6738
MCF10A,ABCD1,0.13,0.552,1.01,AZD6738
MCF10A,ABCD2,-0.76,0.223,1.06,AZD6738
MCF10A,ABCD3,-0.19,0.424,1.02,AZD6738
MCF10A,ABCD4,1,0.841,0.989,AZD6738
MCF10A,ABCF1,-0.06,0.475,1.02,AZD6738
MCF10A,ABCF2,-1.95,0.0255,0.931,AZD6738
MCF10A,ABCF3,-0.13,0.449,1.02,AZD6738
MCF10A,ABCG1,0.51,0.694,0.994,AZD6738
MCF10A,ABCG2,0.43,0.666,0.997,AZD6738
MCF10A,ABCG4,-1,0.158,1.07,AZD6738
MCF10A,ABCG5,-0.58,0.279,1.05,AZD6738
MCF10A,ABCG8,0.26,0.604,1,AZD6738
MCF10A,ABHD1,-1.01,0.157,1.07,AZD6738
MCF10A,ABHD10,0.77,0.78,0.994,AZD6738
MCF10A,ABHD11,0.53,0.704,0.993,AZD6738
MCF10A,ABHD12,0.27,0.606,1,AZD6738
MCF10A,ABHD12B,-0.23,0.409,1.02,AZD6738
MCF10A,ABHD13,-0.81,0.21,1.06,AZD6738
MCF10A,ABHD14A,0.03,0.511,1.01,AZD6738
MCF10A,ABHD14B,0.39,0.652,1,AZD6738
MCF10A,ABHD15,0.33,0.63,1,AZD6738
MCF10A,ABHD16A,-1.29,0.0989,1.07,AZD6738
MCF10A,ABHD16B,1.55,0.939,0.994,AZD6738
MCF10A,ABHD17B,-0.29,0.387,1.02,AZD6738
MCF10A,ABHD17C,1.4,0.919,0.993,AZD6738
MCF10A,ABHD2,0.7,0.757,0.994,AZD6738
MCF10A,ABHD3,-0.37,0.357,1.03,AZD6738
MCF10A,ABHD4,-0.86,0.194,1.06,AZD6738
MCF10A,ABHD5,0.2,0.579,1,AZD6738
MCF10A,ABHD6,-0.72,0.235,1.06,AZD6738
MCF10A,ABHD8,0.66,0.747,0.992,AZD6738
MCF10A,ABI1,-0.01,0.496,1.02,AZD6738
MCF10A,ABI2,0.9,0.816,0.99,AZD6738
MCF10A,ABI3,1.96,0.975,0.996,AZD6738
MCF10A,ABI3BP,0.06,0.523,1.01,AZD6738
MCF10A,ABL1,-1.05,0.147,1.07,AZD6738
MCF10A,ABL2,0.89,0.814,0.99,AZD6738
MCF10A,ABLIM1,0.49,0.688,0.993,AZD6738
MCF10A,ABLIM2,1.39,0.917,0.994,AZD6738
MCF10A,ABLIM3,0.95,0.829,0.99,AZD6738
MCF10A,ABR,-2.29,0.0109,0.741,AZD6738
MCF10A,ABRA,-0.6,0.273,1.05,AZD6738
MCF10A,ABRACL,0.37,0.646,1,AZD6738
MCF10A,ABT1,-0.72,0.236,1.06,AZD6738
MCF10A,ABTB1,0.52,0.698,0.993,AZD6738
MCF10A,ABTB2,0.21,0.584,1,AZD6738
MCF10A,ACAA1,0.47,0.679,0.994,AZD6738
MCF10A,ACAA2,0.44,0.671,0.996,AZD6738
MCF10A,ACACA,-1.58,0.0576,1.02,AZD6738
MCF10A,ACACB,0.36,0.64,1,AZD6738
MCF10A,ACAD10,0.65,0.742,0.992,AZD6738
MCF10A,ACAD11,-0.5,0.308,1.04,AZD6738
MCF10A,ACAD8,-1.94,0.0262,0.934,AZD6738
MCF10A,ACAD9,0.42,0.661,0.999,AZD6738
MCF10A,ACADL,-0.14,0.444,1.02,AZD6738
MCF10A,ACADM,-0.06,0.477,1.02,AZD6738
MCF10A,ACADS,0.57,0.715,0.992,AZD6738
MCF10A,ACADSB,-2.78,0.0027,0.436,AZD6738
MCF10A,ACADVL,1.44,0.924,0.994,AZD6738
MCF10A,ACAN,-1.33,0.0913,1.07,AZD6738
MCF10A,ACAP1,-0.53,0.298,1.05,AZD6738
MCF10A,ACAP2,-1.23,0.109,1.07,AZD6738
MCF10A,ACAP3,-0.26,0.399,1.02,AZD6738
MCF10A,ACAT1,-1.61,0.0536,1.01,AZD6738
MCF10A,ACAT2,1.71,0.957,0.994,AZD6738
MCF10A,ACBD3,-0.8,0.212,1.06,AZD6738
MCF10A,ACBD4,0.78,0.783,0.995,AZD6738
MCF10A,ACBD5,0.19,0.576,1,AZD6738
MCF10A,ACBD6,-0.33,0.371,1.03,AZD6738
MCF10A,ACCS,-0.84,0.202,1.06,AZD6738
MCF10A,ACCSL,-1.34,0.0908,1.07,AZD6738
MCF10A,ACD,-0.66,0.256,1.05,AZD6738
MCF10A,ACE,1.7,0.956,0.994,AZD6738
MCF10A,ACE2,0.29,0.614,1,AZD6738
MCF10A,ACER1,-0.34,0.367,1.03,AZD6738
MCF10A,ACER2,0.31,0.623,1,AZD6738
MCF10A,ACER3,0.63,0.734,0.992,AZD6738
MCF10A,ACHE,-0.99,0.161,1.07,AZD6738
MCF10A,ACIN1,-0.85,0.198,1.06,AZD6738
MCF10A,ACLY,0.63,0.735,0.992,AZD6738
MCF10A,ACMSD,0,0.498,1.02,AZD6738
MCF10A,ACN9,-1.15,0.125,1.07,AZD6738
MCF10A,ACO1,-0.14,0.443,1.02,AZD6738
MCF10A,ACO2,0.42,0.663,0.999,AZD6738
MCF10A,ACOT11,-2.64,0.00417,0.502,AZD6738
MCF10A,ACOT12,-0.6,0.275,1.05,AZD6738
MCF10A,ACOT13,1.62,0.947,0.994,AZD6738
MCF10A,ACOT2,1.56,0.941,0.994,AZD6738
MCF10A,ACOT4,0.65,0.743,0.992,AZD6738
MCF10A,ACOT6,-0.39,0.346,1.03,AZD6738
MCF10A,ACOT7,-0.14,0.444,1.02,AZD6738
MCF10A,ACOT8,0.96,0.831,0.99,AZD6738
MCF10A,ACOT9,0.84,0.799,0.993,AZD6738
MCF10A,ACOX1,0.99,0.839,0.989,AZD6738
MCF10A,ACOX2,0.65,0.743,0.992,AZD6738
MCF10A,ACOX3,-0.02,0.494,1.02,AZD6738
MCF10A,ACOXL,-0.11,0.458,1.02,AZD6738
MCF10A,ACP1,0.23,0.591,1,AZD6738
MCF10A,ACP2,-2.65,0.00398,0.497,AZD6738
MCF10A,ACP5,-1.16,0.124,1.07,AZD6738
MCF10A,ACP6,0.44,0.669,0.997,AZD6738
MCF10A,ACPL2,-0.71,0.239,1.06,AZD6738
