Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,A1BG,-0.46,0.324,1.12,AZD6738
RPE1-hTER_p53,A1CF,0.54,0.707,0.984,AZD6738
RPE1-hTER_p53,A2M,0.13,0.55,1.02,AZD6738
RPE1-hTER_p53,A2ML1,-0.25,0.402,1.09,AZD6738
RPE1-hTER_p53,A4GALT,-1.13,0.129,1.27,AZD6738
RPE1-hTER_p53,A4GNT,1.35,0.912,0.971,AZD6738
RPE1-hTER_p53,AAAS,-0.14,0.443,1.07,AZD6738
RPE1-hTER_p53,AACS,-0.76,0.223,1.18,AZD6738
RPE1-hTER_p53,AADAC,-1.94,0.0263,1.13,AZD6738
RPE1-hTER_p53,AADACL2,1.19,0.882,0.968,AZD6738
RPE1-hTER_p53,AADACL3,-0.42,0.335,1.12,AZD6738
RPE1-hTER_p53,AADACL4,0.63,0.737,0.979,AZD6738
RPE1-hTER_p53,AADAT,0.27,0.606,1,AZD6738
RPE1-hTER_p53,AAED1,-0.98,0.163,1.22,AZD6738
RPE1-hTER_p53,AAGAB,-0.08,0.468,1.06,AZD6738
RPE1-hTER_p53,AAK1,0.95,0.828,0.971,AZD6738
RPE1-hTER_p53,AAMDC,-0.81,0.208,1.19,AZD6738
RPE1-hTER_p53,AAMP,0.78,0.783,0.975,AZD6738
RPE1-hTER_p53,AANAT,0.58,0.718,0.983,AZD6738
RPE1-hTER_p53,AAR2,0.98,0.837,0.97,AZD6738
RPE1-hTER_p53,AARD,-1.19,0.117,1.27,AZD6738
RPE1-hTER_p53,AARS2,-0.27,0.394,1.09,AZD6738
RPE1-hTER_p53,AASDH,0.75,0.772,0.976,AZD6738
RPE1-hTER_p53,AASDHPPT,-1.15,0.126,1.26,AZD6738
RPE1-hTER_p53,AASS,0.49,0.69,0.987,AZD6738
RPE1-hTER_p53,AATF,1.71,0.957,0.982,AZD6738
RPE1-hTER_p53,AATK,0.43,0.665,0.99,AZD6738
RPE1-hTER_p53,ABAT,0.47,0.681,0.988,AZD6738
RPE1-hTER_p53,ABCA1,0.02,0.51,1.04,AZD6738
RPE1-hTER_p53,ABCA10,-2.44,0.00732,0.718,AZD6738
RPE1-hTER_p53,ABCA12,-0.72,0.235,1.18,AZD6738
RPE1-hTER_p53,ABCA13,-1.08,0.14,1.25,AZD6738
RPE1-hTER_p53,ABCA2,-0.42,0.338,1.12,AZD6738
