Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1_hTER_P53,A1BG,0.32,0.626,1,VE821
RPE1_hTER_P53,A1CF,-1.1,0.136,1.26,VE821
RPE1_hTER_P53,A2M,0.2,0.579,1.02,VE821
RPE1_hTER_P53,A2ML1,-0.97,0.165,1.26,VE821
RPE1_hTER_P53,A4GALT,-0.11,0.455,1.07,VE821
RPE1_hTER_P53,A4GNT,0.39,0.652,0.993,VE821
RPE1_hTER_P53,AAAS,0.01,0.505,1.05,VE821
RPE1_hTER_P53,AACS,1.19,0.884,0.971,VE821
RPE1_hTER_P53,AADAC,0.61,0.73,0.977,VE821
RPE1_hTER_P53,AADACL2,-1.49,0.0675,1.23,VE821
RPE1_hTER_P53,AADACL3,-0.06,0.475,1.06,VE821
RPE1_hTER_P53,AADACL4,-0.67,0.252,1.2,VE821
RPE1_hTER_P53,AADAT,0.82,0.795,0.969,VE821
RPE1_hTER_P53,AAED1,0.6,0.727,0.977,VE821
RPE1_hTER_P53,AAGAB,-0.18,0.427,1.09,VE821
RPE1_hTER_P53,AAK1,-0.19,0.427,1.08,VE821
RPE1_hTER_P53,AAMDC,1.8,0.964,0.985,VE821
RPE1_hTER_P53,AAMP,-0.12,0.452,1.08,VE821
RPE1_hTER_P53,AANAT,0.3,0.617,1,VE821
RPE1_hTER_P53,AAR2,1.41,0.921,0.976,VE821
RPE1_hTER_P53,AARD,-0.43,0.335,1.15,VE821
RPE1_hTER_P53,AARS2,0.4,0.654,0.993,VE821
RPE1_hTER_P53,AASDH,-1.07,0.141,1.27,VE821
RPE1_hTER_P53,AASDHPPT,-1.21,0.113,1.28,VE821
RPE1_hTER_P53,AASS,2.21,0.986,0.994,VE821
RPE1_hTER_P53,AATF,-0.47,0.321,1.16,VE821
RPE1_hTER_P53,AATK,-2.35,0.00942,0.581,VE821
RPE1_hTER_P53,ABAT,1.5,0.933,0.978,VE821
RPE1_hTER_P53,ABCA1,0.44,0.668,0.99,VE821
RPE1_hTER_P53,ABCA10,-0.5,0.308,1.17,VE821
RPE1_hTER_P53,ABCA12,-0.23,0.409,1.09,VE821
RPE1_hTER_P53,ABCA13,-0.55,0.29,1.18,VE821
RPE1_hTER_P53,ABCA2,0.6,0.725,0.978,VE821
RPE1_hTER_P53,ABCA3,1.05,0.853,0.969,VE821
RPE1_hTER_P53,ABCA4,-1.35,0.088,1.3,VE821
RPE1_hTER_P53,ABCA5,-0.68,0.248,1.2,VE821
RPE1_hTER_P53,ABCA6,0.63,0.735,0.975,VE821
RPE1_hTER_P53,ABCA7,1.16,0.878,0.97,VE821
RPE1_hTER_P53,ABCA8,0.24,0.593,1.01,VE821
RPE1_hTER_P53,ABCA9,-0.36,0.359,1.13,VE821
RPE1_hTER_P53,ABCB1,0.01,0.503,1.05,VE821
RPE1_hTER_P53,ABCB10,-0.64,0.261,1.2,VE821
RPE1_hTER_P53,ABCB11,0.43,0.668,0.99,VE821
RPE1_hTER_P53,ABCB4,0.06,0.525,1.04,VE821
RPE1_hTER_P53,ABCB5,0.17,0.569,1.02,VE821
RPE1_hTER_P53,ABCB6,-0.45,0.328,1.15,VE821
RPE1_hTER_P53,ABCB7,-0.79,0.214,1.24,VE821
RPE1_hTER_P53,ABCB8,0.47,0.68,0.988,VE821
RPE1_hTER_P53,ABCB9,-0.01,0.494,1.06,VE821
RPE1_hTER_P53,ABCC1,0.83,0.796,0.969,VE821
RPE1_hTER_P53,ABCC10,0.65,0.741,0.975,VE821
RPE1_hTER_P53,ABCC11,-0.18,0.43,1.08,VE821
RPE1_hTER_P53,ABCC12,-0.31,0.377,1.11,VE821
RPE1_hTER_P53,ABCC2,0.12,0.548,1.03,VE821
RPE1_hTER_P53,ABCC3,-0.64,0.261,1.19,VE821
RPE1_hTER_P53,ABCC4,-0.54,0.296,1.18,VE821
RPE1_hTER_P53,ABCC5,1.87,0.969,0.987,VE821
RPE1_hTER_P53,ABCC6,0.3,0.616,1,VE821
RPE1_hTER_P53,ABCC8,0.89,0.814,0.967,VE821
RPE1_hTER_P53,ABCC9,0.66,0.745,0.975,VE821
RPE1_hTER_P53,ABCD1,1.26,0.897,0.971,VE821
RPE1_hTER_P53,ABCD2,-0.43,0.333,1.15,VE821
RPE1_hTER_P53,ABCD3,-0.18,0.429,1.08,VE821
RPE1_hTER_P53,ABCD4,0.12,0.549,1.03,VE821
RPE1_hTER_P53,ABCF1,-0.58,0.282,1.18,VE821
RPE1_hTER_P53,ABCF2,-1.14,0.127,1.27,VE821
RPE1_hTER_P53,ABCF3,1.13,0.872,0.969,VE821
RPE1_hTER_P53,ABCG1,0.02,0.509,1.05,VE821
RPE1_hTER_P53,ABCG2,0,0.502,1.05,VE821
RPE1_hTER_P53,ABCG4,-0.5,0.31,1.17,VE821
RPE1_hTER_P53,ABCG5,1.03,0.848,0.968,VE821
RPE1_hTER_P53,ABCG8,-0.5,0.307,1.17,VE821
RPE1_hTER_P53,ABHD1,-1.23,0.109,1.27,VE821
RPE1_hTER_P53,ABHD10,-0.75,0.225,1.22,VE821
RPE1_hTER_P53,ABHD11,0.4,0.656,0.991,VE821
RPE1_hTER_P53,ABHD12,-0.07,0.474,1.06,VE821
RPE1_hTER_P53,ABHD12B,0.08,0.533,1.03,VE821
RPE1_hTER_P53,ABHD13,0.32,0.624,1,VE821
RPE1_hTER_P53,ABHD14A,0.51,0.695,0.985,VE821
RPE1_hTER_P53,ABHD14B,1.5,0.933,0.978,VE821
RPE1_hTER_P53,ABHD15,-0.48,0.316,1.16,VE821
RPE1_hTER_P53,ABHD16A,-0.44,0.33,1.15,VE821
RPE1_hTER_P53,ABHD16B,0.44,0.672,0.99,VE821
RPE1_hTER_P53,ABHD17B,0.44,0.67,0.99,VE821
RPE1_hTER_P53,ABHD17C,-0.29,0.387,1.11,VE821
RPE1_hTER_P53,ABHD2,0.35,0.638,0.997,VE821
RPE1_hTER_P53,ABHD3,-0.03,0.488,1.06,VE821
RPE1_hTER_P53,ABHD4,0.7,0.759,0.972,VE821
RPE1_hTER_P53,ABHD5,-0.24,0.405,1.1,VE821
RPE1_hTER_P53,ABHD6,0.23,0.59,1.02,VE821
RPE1_hTER_P53,ABHD8,0.46,0.679,0.989,VE821
RPE1_hTER_P53,ABI1,1.5,0.934,0.978,VE821
RPE1_hTER_P53,ABI2,-0.7,0.241,1.21,VE821
RPE1_hTER_P53,ABI3,0.3,0.617,1,VE821
RPE1_hTER_P53,ABI3BP,-0.04,0.482,1.06,VE821
RPE1_hTER_P53,ABL1,1.01,0.844,0.968,VE821
RPE1_hTER_P53,ABL2,1.3,0.903,0.973,VE821
RPE1_hTER_P53,ABLIM1,0.55,0.708,0.982,VE821
RPE1_hTER_P53,ABLIM2,-0.31,0.378,1.11,VE821
RPE1_hTER_P53,ABLIM3,-0.3,0.382,1.11,VE821
RPE1_hTER_P53,ABR,0.34,0.634,1,VE821
RPE1_hTER_P53,ABRA,0.29,0.613,1,VE821
RPE1_hTER_P53,ABRACL,0.21,0.582,1.02,VE821
RPE1_hTER_P53,ABT1,0.63,0.734,0.975,VE821
RPE1_hTER_P53,ABTB1,-0.64,0.261,1.19,VE821
RPE1_hTER_P53,ABTB2,-0.53,0.299,1.17,VE821
RPE1_hTER_P53,ACAA1,-1.61,0.0537,1.16,VE821
RPE1_hTER_P53,ACAA2,-0.61,0.27,1.19,VE821
RPE1_hTER_P53,ACACA,-0.81,0.21,1.24,VE821
RPE1_hTER_P53,ACACB,-0.6,0.273,1.19,VE821
RPE1_hTER_P53,ACAD10,0.31,0.621,1,VE821
RPE1_hTER_P53,ACAD11,0.32,0.627,1,VE821
RPE1_hTER_P53,ACAD8,2.01,0.978,0.991,VE821
RPE1_hTER_P53,ACAD9,1.08,0.859,0.969,VE821
RPE1_hTER_P53,ACADL,-0.3,0.384,1.11,VE821
RPE1_hTER_P53,ACADM,0.49,0.689,0.987,VE821
RPE1_hTER_P53,ACADS,1.08,0.859,0.969,VE821
RPE1_hTER_P53,ACADSB,0.51,0.697,0.985,VE821
RPE1_hTER_P53,ACADVL,0.09,0.536,1.03,VE821
RPE1_hTER_P53,ACAN,0.8,0.788,0.97,VE821
RPE1_hTER_P53,ACAP1,-0.21,0.418,1.09,VE821
RPE1_hTER_P53,ACAP2,2.13,0.984,0.992,VE821
RPE1_hTER_P53,ACAP3,-0.18,0.43,1.08,VE821
RPE1_hTER_P53,ACAT1,-0.87,0.192,1.25,VE821
RPE1_hTER_P53,ACAT2,-1.17,0.121,1.27,VE821
RPE1_hTER_P53,ACBD3,0.71,0.761,0.972,VE821
RPE1_hTER_P53,ACBD4,-0.97,0.165,1.26,VE821
RPE1_hTER_P53,ACBD5,0.06,0.525,1.04,VE821
RPE1_hTER_P53,ACBD6,-0.36,0.358,1.13,VE821
RPE1_hTER_P53,ACCS,0.13,0.551,1.03,VE821
RPE1_hTER_P53,ACCSL,-0.52,0.302,1.17,VE821
RPE1_hTER_P53,ACD,-1.93,0.0268,0.929,VE821
RPE1_hTER_P53,ACE,1.1,0.865,0.969,VE821
RPE1_hTER_P53,ACE2,-1.87,0.0308,0.967,VE821
RPE1_hTER_P53,ACER1,-0.54,0.294,1.18,VE821
RPE1_hTER_P53,ACER2,-0.46,0.323,1.16,VE821
RPE1_hTER_P53,ACER3,1.44,0.925,0.976,VE821
RPE1_hTER_P53,ACHE,-0.23,0.408,1.09,VE821
RPE1_hTER_P53,ACIN1,-0.82,0.206,1.25,VE821
RPE1_hTER_P53,ACLY,3.13,0.999,1,VE821
RPE1_hTER_P53,ACMSD,0.41,0.661,0.991,VE821
RPE1_hTER_P53,ACN9,-1.77,0.0388,1.05,VE821
RPE1_hTER_P53,ACO1,0.62,0.733,0.976,VE821
RPE1_hTER_P53,ACO2,0.26,0.601,1.01,VE821
